ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
241611763,1,1718,280,8,12.0842187685312,55.6210379303433,2016-06-30 02:58:00,23,14287,6300258,6300258,6300255,6300245,6300200,6300200,355,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611774,1,2648,361,2,12.0655869652384,55.6186464973459,2016-06-28 06:31:00,54,9361,6280631,6280630,6280630,6280630,6280600,6280600,238,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611794,1,1719,280,9,12.0842029126616,55.6210383293474,2016-06-30 02:59:00,25,14287,6300259,6300258,6300255,6300245,6300200,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611814,1,1720,280,10,12.0841863516902,55.6210297558713,2016-06-30 03:00:00,26,14287,6300300,6300300,6300300,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611815,1,2649,361,3,12.0655552548746,55.6186472905133,2016-06-28 06:32:00,46,9361,6280632,6280632,6280630,6280630,6280600,6280600,238,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611835,1,1721,280,11,12.0841863516902,55.6210297558713,2016-06-30 03:01:00,28,14287,6300301,6300300,6300300,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611842,1,2650,361,4,12.0655228437334,55.618639111034,2016-06-28 06:33:00,39,9361,6280633,6280632,6280630,6280630,6280600,6280600,238,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611869,1,2651,361,5,12.0654911333737,55.6186399041848,2016-06-28 06:34:00,32,9361,6280634,6280634,6280630,6280630,6280600,6280600,238,661,32,,16,0,454,0,0,0.035242290748,0,1,0,0,0
241611885,1,1722,280,12,12.0841697907261,55.6210211823929,2016-06-30 03:02:00,30,14287,6300302,6300302,6300300,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
241611908,1,1723,280,13,12.0841539348624,55.6210215813906,2016-06-30 03:03:00,32,14287,6300303,6300302,6300300,6300300,6300300,6300200,354,692,43,,26,0,1932,0,0,0.013457556935,0,0,1,0,0
