user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
127,25353,201190,0,98101,20,41826,19909,60391,5424,872,0.487603758,0.207893036,0.300168994,0.004334211,1
128,5691,7818,0,1523,0,2127,817,3682,4874,486,0.194806856,0.272064467,0.470964441,0.062164236,3
129,20116,120477,53,26590,176,15317,17213,78099,2674,471,0.220706027,0.1271363,0.648248213,0.00390946,3
130,6397,46509,0,5486,33,10916,6364,30107,0,0,0.117955664,0.234707261,0.647337075,0,3
131,104163,637871,27,268193,119,76222,67815,289028,36202,4428,0.420450216,0.119494381,0.453113561,0.006941842,3
132,15627,419887,15,86533,53,8907,15357,324426,202,21,0.206086399,0.02121285,0.772650737,5.00135E-05,3
133,16737,668768,22,456055,128,27033,16587,185679,0,1,0.681933047,0.04042209,0.277643368,1.49529E-06,1
134,37002,579711,13,94115,92,85265,30431,399176,6466,1155,0.162348136,0.147081908,0.688577584,0.001992372,3
135,57769,501986,3,228460,110,89452,35089,181348,22567,2726,0.455112294,0.178196205,0.361261071,0.00543043,1
136,47659,676788,107,149214,387,56292,36447,469026,10718,2256,0.220473767,0.083175234,0.693017607,0.003333392,3
137,10367,266383,0,85018,17,25568,10350,155797,0,0,0.319157003,0.095982101,0.584860896,0,3
138,15745,325970,1,31072,112,23194,15632,271704,0,0,0.095321655,0.071153787,0.833524557,0,3
139,17660,280701,2,41769,75,22827,16442,215806,1141,299,0.148802462,0.081321406,0.768810941,0.00106519,3
140,4395,59596,0,15660,19,9443,4376,34493,0,0,0.262769313,0.158450232,0.578780455,0,3
141,8162,47744,20,22799,66,8532,5242,15824,2834,589,0.477525972,0.178703083,0.331434316,0.012336629,1
142,20764,564460,1,266336,168,25830,20009,272227,586,67,0.471842115,0.04576055,0.482278638,0.000118698,3
143,41502,626792,74,219138,889,94031,36337,312980,4202,643,0.349618374,0.150019464,0.499336303,0.001025859,3
